epoch,train_loss,train_miou,val_loss,val_miou,time_s
20,1.534615,0.376266,1.534214,0.326623,138.5
21,1.522805,0.381094,1.532679,0.325539,151.7
22,1.520000,0.381319,1.531032,0.323864,188.7
23,1.518201,0.381693,1.530686,0.326254,199.9
24,1.517718,0.381881,1.529665,0.325861,169.4
25,1.515964,0.383055,1.529136,0.327002,167.6
26,1.515111,0.382160,1.528941,0.326274,154.8
27,1.513317,0.383250,1.527558,0.329041,165.7
28,1.511706,0.383477,1.526631,0.327537,173.9
29,1.511128,0.384909,1.526166,0.327909,163.1
30,1.509830,0.385734,1.525833,0.325758,148.2
31,1.508919,0.386049,1.525947,0.329743,177.8
32,1.509148,0.384070,1.524852,0.329878,160.6
33,1.507815,0.384854,1.525217,0.330648,161.6
34,1.506995,0.384981,1.524456,0.331615,158.1
35,1.493581,0.382290,1.497479,0.330659,147.8
36,1.477667,0.382015,1.494618,0.330713,192.0
37,1.475830,0.384170,1.492927,0.329242,161.9
38,1.473794,0.386223,1.492718,0.330627,168.5
39,1.473296,0.385213,1.492494,0.330680,194.7
40,1.473237,0.386053,1.491867,0.332184,173.0
